date,open,high,low,close,volume
21/5/2021,124.708,124.883,122.161,122.376,77364570
24/5/2021,122.942,124.825,122.873,124.005,61556580
25/5/2021,124.708,125.195,123.244,123.81,70256077
26/5/2021,123.868,124.288,123.342,123.761,55198276
27/5/2021,123.361,124.532,122.034,122.229,92321442
28/5/2021,122.512,122.737,121.517,121.576,69574648
1/6/2021,122.034,122.298,120.922,121.254,65990146
2/6/2021,121.254,122.19,121.029,122.015,57835464
3/6/2021,121.644,121.81,120.132,120.532,74373018
4/6/2021,121.049,123.088,120.834,122.825,73338940
7/6/2021,123.098,123.244,121.79,122.834,69327328
8/6/2021,123.517,125.332,123.137,123.654,72592079
9/6/2021,124.113,124.639,123.439,124.034,55492930
10/6/2021,123.927,125.069,122.873,123.039,69452999
11/6/2021,123.449,124.337,123.029,124.249,52219118
14/6/2021,124.708,127.361,123.976,127.303,94546818
15/6/2021,126.776,127.42,126.239,126.483,61218444
16/6/2021,127.196,127.703,125.332,126.981,89579342
17/6/2021,126.639,129.322,126.493,128.581,94366517
18/6/2021,127.527,128.308,127.069,127.283,106300288
21/6/2021,127.127,129.186,126.064,129.079,77723502
22/6/2021,128.913,130.815,128.415,130.718,72962627
23/6/2021,130.513,131.049,129.986,130.444,58747982
24/6/2021,131.176,131.361,129.693,130.161,67037904
25/6/2021,130.21,130.63,129.576,129.869,69060132
28/6/2021,130.161,131.957,130.103,131.498,60598887
29/6/2021,131.518,133.167,131.079,133.01,62984176
30/6/2021,132.854,134.064,132.561,133.625,61720974
1/7/2021,133.274,133.986,132.454,133.928,51207780
2/7/2021,134.542,136.591,134.396,136.552,76932554
6/7/2021,136.659,139.664,136.659,138.562,105547563
7/7/2021,140.045,141.362,139.186,141.05,102356988
8/7/2021,138.133,140.552,137.245,139.752,103004732
9/7/2021,139.274,142.104,139.176,141.577,97458479
12/7/2021,142.65,142.757,140.494,140.981,74441789
13/7/2021,140.523,143.869,140.133,142.094,98371984
14/7/2021,144.494,145.928,144.084,145.518,123957115
15/7/2021,145.606,146.348,143.508,144.865,104219217
16/7/2021,144.845,146.113,142.328,142.825,90980726
19/7/2021,140.25,140.562,138.22,138.981,118477631
20/7/2021,139.967,143.518,139.479,142.591,94003912
21/7/2021,141.986,142.572,141.108,141.859,73167403
22/7/2021,142.386,144.591,142.26,143.225,75455004
23/7/2021,143.957,145.099,143.342,144.943,69707673
26/7/2021,144.66,146.182,144.104,145.362,70670333
27/7/2021,145.489,145.577,142.006,143.196,102266302
28/7/2021,141.284,143.391,139.069,141.45,116035195
29/7/2021,141.167,142.982,141.059,142.094,55318880
30/7/2021,140.864,142.767,140.601,142.308,68725367
2/8/2021,142.796,143.372,141.713,141.977,61348877
3/8/2021,142.26,144.435,141.645,143.772,63209053
4/8/2021,143.684,144.191,142.718,143.372,54995744
5/8/2021,143.401,144.24,142.611,143.479,45267919
6/8/2021,143,143.743,142.297,142.795,52887928
9/8/2021,142.854,143.342,142.189,142.746,47789280
10/8/2021,143.088,144.329,141.974,142.268,67443296
11/8/2021,142.707,143.362,142.199,142.521,47383562
12/8/2021,142.844,145.639,142.502,145.482,70628193
13/8/2021,145.56,146.02,144.876,145.687,58016025
16/8/2021,145.14,147.73,143.117,147.661,100931716
17/8/2021,146.792,148.208,145.678,146.752,90118715
